project,location,start_date_time,end_date_time
ABMI Ecosystem Health 2015,1022-NE,2015-02-23T13:44:00Z,2015-07-08T10:41:00Z
ABMI Ecosystem Health 2015,1022-NW,2015-02-23T12:19:00Z,2015-07-08T11:37:00Z
ABMI Ecosystem Health 2015,1022-SE,2015-02-23T15:04:00Z,2015-07-08T09:22:00Z
ABMI Ecosystem Health 2015,1022-SW,2015-02-23T16:20:00Z,2015-07-08T08:03:00Z
ABMI Ecosystem Health 2015,1023-NE,2015-02-27T15:22:00Z,2015-07-10T13:22:00Z
ABMI Ecosystem Health 2015,1023-NW,2015-02-27T16:16:00Z,2015-07-10T14:31:00Z
ABMI Ecosystem Health 2015,1023-SE,2015-02-27T17:04:00Z,2015-07-10T12:29:00Z
ABMI Ecosystem Health 2015,1023-SW,2015-02-27T17:41:00Z,2015-07-10T11:47:00Z
ABMI Ecosystem Health 2015,1024-NE,2015-02-26T11:09:00Z,2015-07-11T16:26:00Z
ABMI Ecosystem Health 2015,1024-NW,2015-02-26T11:01:00Z,2015-07-11T18:51:00Z
ABMI Ecosystem Health 2015,1024-SW,2015-02-26T12:14:00Z,2015-07-11T08:24:00Z
ABMI Ecosystem Health 2017,1025-NE,2017-02-18T11:24:00Z,2017-07-12T08:53:00Z
ABMI Ecosystem Health 2017,1025-NW,2017-02-17T17:58:00Z,2017-07-12T09:21:00Z
ABMI Ecosystem Health 2017,1025-SE,2017-02-17T16:55:00Z,2017-07-12T10:40:00Z
ABMI Ecosystem Health 2017,1025-SW,2017-02-18T10:04:00Z,2017-07-12T09:49:00Z
ABMI Ecosystem Health 2017,1026-NE,2017-02-18T17:00:00Z,2017-07-07T14:54:00Z
ABMI Ecosystem Health 2017,1026-NW,2017-02-18T17:56:00Z,2017-07-07T15:06:00Z
ABMI Ecosystem Health 2017,1026-SE,2017-02-18T13:41:00Z,2017-07-07T13:41:00Z
ABMI Ecosystem Health 2017,1026-SW,2017-02-18T14:39:00Z,2017-07-07T13:55:00Z
ABMI Ecosystem Health 2017,1027-NE,2017-02-19T11:50:00Z,2017-07-08T14:30:00Z
ABMI Ecosystem Health 2017,1027-NW,2017-02-19T10:58:00Z,2017-02-22T10:51:00Z
ABMI Ecosystem Health 2017,1027-NW-B,2017-02-22T11:39:00Z,2017-07-08T12:13:00Z
ABMI Ecosystem Health 2017,1027-SE,2017-02-19T13:13:00Z,2017-07-08T13:24:00Z
ABMI Ecosystem Health 2017,1027-SW,2017-02-19T10:10:00Z,2017-07-08T12:43:00Z
ABMI Ecosystem Health 2018,1028-NE,2018-01-24T10:38:00Z,2018-06-24T16:10:00Z
ABMI Ecosystem Health 2018,1028-NW,2018-01-24T14:56:00Z,2018-06-24T13:30:00Z
ABMI Ecosystem Health 2018,1028-SE,2018-01-24T12:11:00Z,2018-06-24T15:34:00Z
ABMI Ecosystem Health 2018,1028-SW,2018-01-24T13:41:00Z,2018-05-07T11:00:00Z
ABMI Ecosystem Health 2015,1056-NE,2015-02-24T15:32:00Z,2015-07-13T13:02:00Z
ABMI Ecosystem Health 2015,1056-NW,2015-02-24T14:42:00Z,2015-05-31T15:31:00Z
ABMI Ecosystem Health 2015,1056-SE,2015-02-24T16:12:00Z,2015-07-13T13:50:00Z
ABMI Ecosystem Health 2015,1056-SW,2015-02-24T16:58:00Z,2015-07-13T12:38:00Z
ABMI Ecosystem Health 2015,1057-NE,2015-02-27T13:44:00Z,2015-07-12T08:44:00Z
ABMI Ecosystem Health 2015,1057-NW,2015-02-27T10:05:00Z,2015-07-12T12:46:00Z
ABMI Ecosystem Health 2015,1057-SE,2015-02-27T11:29:00Z,2015-07-12T10:14:00Z
ABMI Ecosystem Health 2015,1057-SW,2015-02-27T12:26:00Z,2015-07-12T11:26:00Z
ABMI Ecosystem Health 2015,1058-NE,2015-02-26T14:45:00Z,2015-07-14T12:08:00Z
ABMI Ecosystem Health 2015,1058-NW,2015-02-26T15:38:00Z,2015-07-14T12:52:00Z
ABMI Ecosystem Health 2015,1058-SE,2015-02-26T17:43:00Z,2015-07-11T06:17:00Z
ABMI Ecosystem Health 2015,1058-SW,2015-02-26T16:37:00Z,2015-07-14T13:37:00Z
ABMI Ecosystem Health 2017,1059-NE,2017-02-19T15:58:00Z,2017-07-09T12:58:00Z
ABMI Ecosystem Health 2017,1059-NW,2017-02-19T17:27:00Z,2017-07-09T13:24:00Z
ABMI Ecosystem Health 2017,1059-SE,2017-02-19T16:45:00Z,2017-07-09T11:26:00Z
ABMI Ecosystem Health 2017,1059-SW,2017-02-19T18:10:00Z,2017-03-09T07:00:00Z
ABMI Ecosystem Health 2017,1060-NE,2017-02-20T09:39:00Z,2017-07-10T14:31:00Z
ABMI Ecosystem Health 2017,1060-NW,2017-02-20T10:27:00Z,2017-07-10T14:56:00Z
ABMI Ecosystem Health 2017,1060-SE,2017-02-20T11:38:00Z,2017-07-10T13:16:00Z
ABMI Ecosystem Health 2017,1060-SW,2017-02-20T12:37:00Z,2017-07-10T15:24:00Z
ABMI Ecosystem Health 2017,1061-NE,2017-02-20T16:55:00Z,2017-07-11T09:18:00Z
ABMI Ecosystem Health 2017,1061-NW,2017-02-20T17:56:00Z,2017-04-04T16:54:00Z
ABMI Ecosystem Health 2017,1061-SE,2017-02-21T10:09:00Z,2017-07-11T13:14:00Z
ABMI Ecosystem Health 2017,1061-SW,2017-02-21T10:53:00Z,2017-07-11T11:00:00Z
ABMI Ecosystem Health 2018,1062-NE,2018-01-23T15:12:00Z,2018-06-25T10:37:00Z
ABMI Ecosystem Health 2018,1062-NW,2018-01-23T16:35:00Z,2018-05-08T17:34:00Z
