project,location,date_detected,field_of_view
ABMI Ecosystem Health 2015,2-NE,2015-09-15T11:18:38Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,2-NW,2015-09-15T12:06:56Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,2-NW,2015-03-14T12:11:49Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,2-SE,2015-06-22T02:59:59Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,2-SE,2015-03-14T13:31:08Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,2-SW,2015-03-14T12:50:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,2-SW,2015-09-15T09:42:38Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,3-NE,2015-03-14T14:44:29Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,3-NE,2015-09-15T14:54:57Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,3-NW,2015-09-15T14:14:33Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,3-NW,2015-03-14T15:00:45Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,857-SW,2015-03-20T11:58:28Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,857-SW,2015-07-19T10:04:26Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,3-SE,2015-03-14T15:16:52Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,3-SE,2015-09-15T15:24:13Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,3-SW,2015-09-15T15:36:54Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,3-SW,2015-03-14T16:02:10Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,13-NE,2015-09-16T10:41:03Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,13-NE,2015-03-12T16:20:22Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,13-SW,2015-09-16T09:15:57Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,13-SW,2015-03-12T18:10:40Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,14-NE,2015-09-16T15:09:40Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,14-NE,2015-03-14T11:03:40Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,14-NW,2015-03-14T10:47:45Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,14-NW,2015-09-16T15:54:30Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,14-SE,2015-09-16T14:18:37Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,14-SE,2015-03-14T09:54:46Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,14-SW,2015-09-16T13:37:38Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,14-SW,2015-03-14T10:00:01Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,15-NE,2015-09-16T10:35:58Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,15-NE,2015-03-13T16:52:01Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,15-NW,2015-03-13T16:56:36Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,15-NW,2015-09-12T13:21:35Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,15-SE,2015-03-13T17:08:34Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,15-SE,2015-06-20T00:59:59Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,15-SW,2015-03-13T15:56:44Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,15-SW,2015-09-16T08:43:44Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,32-NE,2015-09-17T09:16:14Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,32-NE,2015-03-12T12:07:18Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,33-NE,2015-03-15T11:14:19Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,33-NE,2015-05-01T10:59:59Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,33-NW,2015-03-15T13:12:23Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,33-NW,2015-09-17T11:15:00Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,33-SE,2015-03-15T11:58:29Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,33-SE,2015-09-17T11:43:26Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,33-SW,2015-03-15T12:54:48Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,33-SW,2015-09-17T11:08:39Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,34-NE,2015-03-13T13:40:32Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,34-NE,2015-08-31T16:47:03Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,34-NW,2015-03-13T13:34:57Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,34-NW,2015-09-16T14:28:48Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,34-SE,2015-09-16T13:03:17Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,34-SE,2015-03-13T14:36:13Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,234-SE,2015-09-19T08:42:22Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,234-SE,2015-03-01T12:48:27Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,235-NE,2015-09-19T12:53:35Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,235-NE,2015-02-27T15:50:50Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,235-NW,2015-09-19T12:58:16Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,235-NW,2015-02-27T14:04:26Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,235-SE,2015-02-27T14:49:35Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,235-SE,2015-09-19T12:01:00Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,235-SW,2015-02-27T14:50:51Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,235-SW,2015-09-19T12:00:18Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,236-NE,2015-02-27T12:45:30Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,236-NE,2015-09-19T14:54:25Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,236-NW,2015-09-19T14:59:33Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,236-NW,2015-02-27T11:52:36Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,236-SE,2015-02-27T11:40:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,236-SE,2015-07-26T10:36:27Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,236-SW,2015-09-19T16:04:41Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,236-SW,2015-02-27T11:14:38Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,264-NE,2015-03-01T15:26:12Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,264-NE,2015-09-18T15:39:29Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,264-NW,2015-03-01T15:13:20Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,264-NW,2015-09-18T13:59:13Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,264-SE,2015-03-01T16:22:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,264-SE,2015-09-18T16:36:42Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,264-SW,2015-09-18T17:47:39Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,264-SW,2015-03-01T15:49:41Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,265-NE,2015-03-03T11:00:02Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,265-NE,2015-09-20T11:07:46Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,265-NW,2015-08-23T21:54:00Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,265-NW,2015-03-03T11:51:07Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,265-SE,2015-02-27T17:12:24Z,START - First Good Image in FOV
