location,project,lure
CAL-100,CMU 2017,No
CAL-100,CMU 2018,No
CAL-76,CMU 2017,No
CAL-76,CMU 2018,No
CAL-77,CMU 2017,No
CAL-77,CMU 2018,No
CAL-78,CMU 2017,No
CAL-78,CMU 2018,No
CAL-79,CMU 2017,No
CAL-79,CMU 2018,No
CAL-80,CMU 2017,No
CAL-80,CMU 2018,No
CAL-81,CMU 2017,No
CAL-82,CMU 2017,No
CAL-82,CMU 2018,No
CAL-83,CMU 2017,No
CAL-83,CMU 2018,No
CAL-83,CMU 2018,No
CAL-84,CMU 2017,No
CAL-84,CMU 2018,No
CAL-85,CMU 2017,No
CAL-85,CMU 2018,No
CAL-85,CMU 2018,No
CAL-86,CMU 2017,No
CAL-86,CMU 2018,No
CAL-87,CMU 2017,No
CAL-87,CMU 2018,No
CAL-87,CMU 2018,No
CAL-88,CMU 2017,No
CAL-88,CMU 2018,No
CAL-89,CMU 2017,No
CAL-89,CMU 2018,No
CAL-89,CMU 2018,No
CAL-90,CMU 2017,No
CAL-90,CMU 2018,No
CAL-91,CMU 2017,No
CAL-91,CMU 2018,No
CAL-92,CMU 2017,No
CAL-92,CMU 2018,No
CAL-93,CMU 2017,No
CAL-93,CMU 2018,No
CAL-94,CMU 2017,No
CAL-95,CMU 2017,No
CAL-95,CMU 2018,No
CAL-96,CMU 2017,No
CAL-96,CMU 2018,No
CAL-97,CMU 2017,No
CAL-97,CMU 2018,No
CAL-98,CMU 2017,No
CAL-98,CMU 2018,No
CAL-99,CMU 2017,No
CAL-99,CMU 2018,No
CHR-101,CMU 2017,No
CHR-101,CMU 2018,No
CHR-102,CMU 2017,No
CHR-102,CMU 2018,No
CHR-103,CMU 2017,No
CHR-103,CMU 2018,No
CHR-104,CMU 2017,No
CHR-104,CMU 2018,No
CHR-105,CMU 2017,No
CHR-105,CMU 2018,No
CHR-106,CMU 2017,No
CHR-106,CMU 2018,No
CHR-107,CMU 2017,No
CHR-107,CMU 2018,No
CHR-108,CMU 2017,No
CHR-108,CMU 2018,No
CHR-109,CMU 2017,No
CHR-109,CMU 2018,No
CHR-110,CMU 2017,No
CHR-110,CMU 2018,No
CHR-111,CMU 2017,No
CHR-111,CMU 2018,No
CHR-112,CMU 2017,No
CHR-112,CMU 2018,No
CHR-113,CMU 2017,No
CHR-113,CMU 2018,No
CHR-114,CMU 2017,No
CHR-114,CMU 2018,No
CHR-115,CMU 2017,No
CHR-115,CMU 2018,No
