location,project,VegHF,SoilHF,VegForDetectionDistance
ADE-1,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
ADE-10,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,WetTreed
ADE-10T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
ADE-11,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Decid
ADE-12T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
ADE-13,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Decid
ADE-14,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Decid
ADE-15,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,WetTreed
ADE-16,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
ADE-16T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
ADE-17,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Decid
ADE-17T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
ADE-18,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
ADE-18T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,HF
ADE-19,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
ADE-19T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,HF
ADE-1T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
ADE-2,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
ADE-20,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
ADE-20T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
ADE-21,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
ADE-21T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
ADE-22,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
ADE-22T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Decid
ADE-23,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,WetTreed
ADE-24T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,HF
ADE-25,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
ADE-25T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Decid
ADE-2T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
ADE-3,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
ADE-3T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
ADE-4,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
ADE-4T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Decid
ADE-5,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
ADE-5T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Decid
ADE-6T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,HF
ADE-7,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
ADE-7T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Grass
ADE-8,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,WetTreed
ADE-8T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,HF
ADE-9,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
ADE-9T,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,HF
MRG-1,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
MRG-10,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
MRG-11,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
MRG-13,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,WetTreed
MRG-14,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
MRG-15,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
MRG-16,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
MRG-17,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
MRG-2,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
MRG-20,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
MRG-21,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,WetTreed
MRG-22,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
MRG-23,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,WetTreed
MRG-24,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
MRG-25,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
MRG-3,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
MRG-4,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
MRG-5,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
MRG-6,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,WetTreed
MRG-7,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,WetTreed
MRG-9,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
RIC-1,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,WetTreed
RIC-10,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
RIC-11,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
RIC-12,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
RIC-13,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
RIC-14,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,WetTreed
RIC-15,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
RIC-16,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
RIC-17,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
RIC-18,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,WetTreed
RIC-19,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
RIC-2,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
RIC-20,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
RIC-21,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
RIC-22,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
RIC-23,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
RIC-24,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Conif
RIC-25,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
RIC-3,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
RIC-4,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
RIC-5,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
RIC-6,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,WetTreed
RIC-8,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
RIC-9,CMU Ecosystem Monitoring Camera Program 2020,NA,NA,Shrub
AUB-1,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
AUB-10,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Conif
AUB-11,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Conif
AUB-12,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Decid
AUB-13,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
AUB-14,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Conif
AUB-15,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Conif
AUB-16,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,WetTreed
AUB-17,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,WetTreed
AUB-18,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Conif
AUB-19,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Decid
AUB-2,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Decid
AUB-20,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,WetTreed
AUB-21,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,WetTreed
AUB-22,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Decid
AUB-23,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Decid
AUB-24,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Conif
AUB-25,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Conif
