project,location,WMUNIT_COD,common_name,density_km2_adj,veghf,correction,density_km2_adj_corr
CMU 2017,FMM-6,00519,Moose,0,WetTreed,0.63,0
CMU 2017,LLB-149,00512,Moose,0.004916419013712699,WetOpen,0.59,0.0020157317956222068
CMU 2017,FMM-7,00519,Moose,1.018607004220854,WetOpen,0.59,0.41762887173055013
CMU 2017,LLB-134,00512,Moose,0,Decid,0.34,0
CMU 2017,LLB-140,00512,Moose,0,Grass,0.71,0
CMU 2017,LLB-143,00512,Moose,0.1284064806856276,HF,0.51,0.06291917553595752
CMU 2017,FMM-3,00519,Moose,0,WetTreed,0.63,0
CMU 2017,FMM-1,00519,Moose,0,WetTreed,0.63,0
CMU 2017,FMM-13,00519,Moose,0,HF,0.51,0
CMU 2017,FMM-5,00519,Moose,0,WetTreed,0.63,0
CMU 2017,FMM-2,00519,Moose,0,WetTreed,0.63,0
CMU 2017,FMM-23,00519,Moose,0,WetTreed,0.63,0
CMU 2017,LLB-145,00512,Moose,0.031235105908051886,HF,0.51,0.015305201894945424
CMU 2017,LLB-136,00512,Moose,0,Conif,0.48,0
CMU 2017,LLB-127,00512,Moose,0,Conif,0.48,0
CMU 2017,LLB-148,00512,Moose,0,Conif,0.48,0
CMU 2017,FMM-14,00519,Moose,0.05801427920797732,Conif,0.48,0.030167425188148207
CMU 2017,FMM-4,00519,Moose,0,HF,0.51,0
CMU 2017,LLB-144,00512,Moose,0,WetOpen,0.59,0
CMU 2017,LLB-141,00512,Moose,0.2657086010010002,WetTreed,0.63,0.09831218237037007
CMU 2017,LLB-129,00512,Moose,0,Grass,0.71,0
CMU 2017,LLB-131,00512,Moose,0.8149260701926062,Conif,0.48,0.42376155650015523
CMU 2017,LLB-135,00512,Moose,0,HF,0.51,0
CMU 2017,LLB-150,00512,Moose,0,Decid,0.34,0
CMU 2017,LLB-147,00512,Moose,0,Conif,0.48,0
CMU 2017,LLB-142,00512,Moose,0,Conif,0.48,0
CMU 2017,FMM-8,00519,Moose,0,WetTreed,0.63,0
CMU 2017,FMM-19,00519,Moose,2.259975228134156,WetOpen,0.59,0.926589843535004
CMU 2017,LLB-130,00512,Moose,0.17194201009884655,WetTreed,0.63,0.06361854373657322
CMU 2017,LLB-132,00512,Moose,0.4088295239540261,WetTreed,0.63,0.15126692386298965
CMU 2017,LLB-133,00512,Moose,0,WetTreed,0.63,0
CMU 2017,LLB-137,00512,Moose,0.5320584550146681,Decid,0.34,0.3511585803096809
CMU 2017,LLB-138,00512,Moose,0,WetTreed,0.63,0
CMU 2017,CHR-107,00517,Moose,0,WetOpen,0.59,0
CMU 2017,FMM-15,00519,Moose,0,WetTreed,0.63,0
CMU 2017,CHR-115,00517,Moose,0,Decid,0.34,0
CMU 2017,FMM-11,00519,Moose,0,WetTreed,0.63,0
CMU 2017,CHR-104,00517,Moose,0,WetTreed,0.63,0
CMU 2017,LLB-126,00512,Moose,0,WetTreed,0.63,0
CMU 2017,CHR-103,00517,Moose,0,Decid,0.34,0
CMU 2017,FMM-18,00519,Moose,0,WetTreed,0.63,0
CMU 2017,CHR-121,00517,Moose,0.7494564843138375,WetTreed,0.63,0.2772988991961199
CMU 2017,CHR-120,00517,Moose,0,WetTreed,0.63,0
CMU 2017,FMM-25,00519,Moose,0,WetTreed,0.63,0
CMU 2017,CAL-94,00516,Moose,0,WetTreed,0.63,0
CMU 2017,CAL-93,00516,Moose,0,Decid,0.34,0
CMU 2017,CAL-92,00516,Moose,0,WetOpen,0.59,0
CMU 2017,CAL-91,00516,Moose,0,WetTreed,0.63,0
CMU 2017,CAL-86,00516,Moose,0,WetTreed,0.63,0
CMU 2017,CAL-84,00516,Moose,0,Decid,0.34,0
CMU 2017,CHR-106,00517,Moose,0,WetTreed,0.63,0
CMU 2017,CAL-78,00516,Moose,0.1352483767501617,WetOpen,0.59,0.0554518344675663
CMU 2017,CAL-81,00516,Moose,0.10958752946999907,WetOpen,0.59,0.04493088708269962
CMU 2017,CHR-101,00517,Moose,0,Conif,0.48,0
CMU 2017,FMM-17,00519,Moose,0,WetTreed,0.63,0
CMU 2017,FMM-21,00519,Moose,0,WetTreed,0.63,0
CMU 2017,LLB-139,00512,Moose,1.188706345073509,Grass,0.71,0.34472484007131765
CMU 2017,CHR-105,00517,Moose,0,HF,0.51,0
CMU 2017,CHR-112,00517,Moose,0,Decid,0.34,0
CMU 2017,CHR-109,00517,Moose,0.029086466011891306,WetTreed,0.63,0.010761992424399782
CMU 2017,CHR-116,00517,Moose,0,Conif,0.48,0
CMU 2017,CHR-124,00517,Moose,0.09425257396896362,WetTreed,0.63,0.03487345236851654
CMU 2017,CHR-113,00517,Moose,0,Shrub,0.57,0
CMU 2017,CHR-122,00517,Moose,0,WetTreed,0.63,0
CMU 2017,CHR-118,00517,Moose,0,WetTreed,0.63,0
CMU 2017,CHR-111,00517,Moose,0,WetTreed,0.63,0
CMU 2017,CHR-108,00517,Moose,0,WetTreed,0.63,0
CMU 2017,CHR-117,00517,Moose,0,Shrub,0.57,0
CMU 2017,CHR-114,00517,Moose,0.016190542385301425,Conif,0.48,0.008419082040356742
CMU 2017,CHR-102,00517,Moose,0,WetTreed,0.63,0
CMU 2017,FMM-12,00519,Moose,0,WetTreed,0.63,0
CMU 2017,FMM-24,00519,Moose,0,WetTreed,0.63,0
CMU 2017,CHR-119,00517,Moose,0,WetTreed,0.63,0
CMU 2017,CHR-110,00517,Moose,0,WetTreed,0.63,0
CMU 2017,FMM-9,00519,Moose,0,WetTreed,0.63,0
CMU 2017,CHR-123,00517,Moose,0,WetOpen,0.59,0
CMU 2017,FMM-10,00519,Moose,0,WetTreed,0.63,0
CMU 2017,FMM-16,00519,Moose,0,WetTreed,0.63,0
CMU 2017,FMM-20,00519,Moose,0,WetTreed,0.63,0
CMU 2017,CAL-98,00516,Moose,0.23656050179221472,WetTreed,0.63,0.08752738566311945
CMU 2017,CAL-97,00516,Moose,0.9269771919369487,Shrub,0.57,0.398600192532888
CMU 2017,CAL-95,00516,Moose,0,Decid,0.34,0
CMU 2017,CAL-90,00516,Moose,0,WetTreed,0.63,0
CMU 2017,CAL-89,00516,Moose,0,WetOpen,0.59,0
CMU 2017,CAL-87,00516,Moose,0.4312155099168993,Shrub,0.57,0.1854226692642667
CMU 2017,CAL-82,00516,Moose,0,HF,0.51,0
CMU 2017,CAL-80,00516,Moose,0.0204884058623197,Decid,0.34,0.013522347869131
CMU 2017,CAL-88,00516,Moose,0,Decid,0.34,0
CMU 2017,CAL-100,00516,Moose,0,Decid,0.34,0
CMU 2017,CAL-85,00516,Moose,0,Decid,0.34,0
CMU 2017,CAL-79,00516,Moose,0.041980466848945824,HF,0.51,0.020570428755983455
CMU 2017,CAL-77,00516,Moose,0,WetTreed,0.63,0
CMU 2017,CAL-76,00516,Moose,0,WetTreed,0.63,0
CMU 2018,FMM-6,00519,Moose,0,WetTreed,0.63,0
CMU 2018,LLB-149,00512,Moose,0.6466020158305573,WetOpen,0.59,0.2651068264905285
CMU 2018,FMM-7,00519,Moose,0.4828633266279529,WetOpen,0.59,0.1979739639174607
CMU 2018,LLB-134,00512,Moose,0.06947681912137377,Decid,0.34,0.04585470062010668
CMU 2018,LLB-140,00512,Moose,0,Grass,0.71,0
CMU 2018,LLB-143,00512,Moose,0.014042528402621572,HF,0.51,0.00688083891728457
CMU 2018,FMM-3,00519,Moose,0,WetTreed,0.63,0
CMU 2018,FMM-1,00519,Moose,0,WetTreed,0.63,0
CMU 2018,FMM-13,00519,Moose,0,HF,0.51,0
CMU 2018,FMM-5,00519,Moose,0,WetTreed,0.63,0
CMU 2018,FMM-2,00519,Moose,0,WetTreed,0.63,0
CMU 2018,FMM-23,00519,Moose,1.1166549067405676,WetTreed,0.63,0.41316231549401
CMU 2018,LLB-145,00512,Moose,0,HF,0.51,0
CMU 2018,LLB-136,00512,Moose,0,Conif,0.48,0
CMU 2018,LLB-127,00512,Moose,0,Conif,0.48,0
CMU 2018,LLB-148,00512,Moose,0,Conif,0.48,0
CMU 2018,LID-4,00726,Moose,0,Conif,0.48,0
CMU 2018,LID-12,00726,Moose,0,WetTreed,0.63,0
CMU 2018,FMM-14,00519,Moose,0,Conif,0.48,0
CMU 2018,LLB-144,00512,Moose,0,WetOpen,0.59,0
CMU 2018,LLB-141,00512,Moose,0,WetTreed,0.63,0
CMU 2018,LLB-129,00512,Moose,0,Grass,0.71,0
CMU 2018,LLB-131,00512,Moose,0,Conif,0.48,0
CMU 2018,LLB-135,00512,Moose,0.25615586235049936,HF,0.51,0.1255163725517447
