location,project,date_detected,common_name,distance
1022-NW,ABMI Ecosystem Health 2015,2015-03-29T19:18:16Z,White-tailed Deer,B
1022-NW,ABMI Ecosystem Health 2015,2015-03-29T19:18:22Z,White-tailed Deer,"B, B, B"
1022-NW,ABMI Ecosystem Health 2015,2015-03-29T19:18:25Z,White-tailed Deer,"B, B, B"
1022-NW,ABMI Ecosystem Health 2015,2015-03-29T19:18:29Z,White-tailed Deer,B
1022-NW,ABMI Ecosystem Health 2015,2015-04-06T20:33:12Z,White-tailed Deer,A
1022-NW,ABMI Ecosystem Health 2015,2015-04-06T20:33:14Z,White-tailed Deer,IP
1022-NW,ABMI Ecosystem Health 2015,2015-04-06T20:33:16Z,White-tailed Deer,A
1022-NW,ABMI Ecosystem Health 2015,2015-04-06T20:33:18Z,White-tailed Deer,F
1022-NW,ABMI Ecosystem Health 2015,2015-04-15T20:06:59Z,White-tailed Deer,"B, B"
1022-NW,ABMI Ecosystem Health 2015,2015-04-25T21:21:21Z,Coyote,B
1022-NW,ABMI Ecosystem Health 2015,2015-05-27T09:28:13Z,White-tailed Deer,"NA"
1022-NW,ABMI Ecosystem Health 2015,2015-06-16T04:11:46Z,White-tailed Deer,F
1022-NW,ABMI Ecosystem Health 2015,2015-06-16T04:11:47Z,White-tailed Deer,F
1022-NW,ABMI Ecosystem Health 2015,2015-06-24T23:32:39Z,Coyote,A
1022-NW,ABMI Ecosystem Health 2015,2015-06-24T23:32:40Z,Coyote,F
1022-NW,ABMI Ecosystem Health 2015,2015-06-24T23:32:41Z,Coyote,F
1022-NW,ABMI Ecosystem Health 2015,2015-07-03T22:47:08Z,White-tailed Deer,"NA"
1022-NW,ABMI Ecosystem Health 2015,2015-07-03T22:47:09Z,White-tailed Deer,"NA"
1022-SE,ABMI Ecosystem Health 2015,2015-03-14T03:08:43Z,Coyote,B
1022-SE,ABMI Ecosystem Health 2015,2015-03-19T05:20:09Z,Coyote,B
1022-SE,ABMI Ecosystem Health 2015,2015-03-25T09:46:46Z,Coyote,B
1022-SE,ABMI Ecosystem Health 2015,2015-03-25T09:46:48Z,Coyote,B
1022-SE,ABMI Ecosystem Health 2015,2015-04-04T14:47:05Z,White-tailed Deer,"B, B, B, B"
1022-SE,ABMI Ecosystem Health 2015,2015-04-11T20:19:24Z,White-tailed Deer,A
1022-SE,ABMI Ecosystem Health 2015,2015-04-14T11:40:08Z,White-tailed Deer,"B, B"
1022-SE,ABMI Ecosystem Health 2015,2015-04-14T11:40:10Z,White-tailed Deer,"B, B"
1022-SE,ABMI Ecosystem Health 2015,2015-04-14T11:40:34Z,White-tailed Deer,B
1022-SE,ABMI Ecosystem Health 2015,2015-04-14T15:20:30Z,White-tailed Deer,"B, B"
1022-SE,ABMI Ecosystem Health 2015,2015-05-07T22:13:28Z,White-tailed Deer,B
1022-SE,ABMI Ecosystem Health 2015,2015-05-09T06:52:04Z,White-tailed Deer,"B, B"
1022-SE,ABMI Ecosystem Health 2015,2015-05-09T10:52:13Z,White-tailed Deer,"B, B"
1022-SE,ABMI Ecosystem Health 2015,2015-05-09T10:53:44Z,White-tailed Deer,B
1022-SE,ABMI Ecosystem Health 2015,2015-05-15T22:00:18Z,White-tailed Deer,B
1022-SE,ABMI Ecosystem Health 2015,2015-05-15T22:00:32Z,White-tailed Deer,B
1022-SE,ABMI Ecosystem Health 2015,2015-05-15T22:00:39Z,White-tailed Deer,B
1022-SE,ABMI Ecosystem Health 2015,2015-05-17T07:37:07Z,Coyote,B
1022-SE,ABMI Ecosystem Health 2015,2015-05-19T20:19:11Z,White-tailed Deer,F
1022-SE,ABMI Ecosystem Health 2015,2015-05-19T20:19:17Z,White-tailed Deer,F
1022-SE,ABMI Ecosystem Health 2015,2015-05-19T20:23:18Z,White-tailed Deer,A
1022-SE,ABMI Ecosystem Health 2015,2015-05-23T19:22:06Z,White-tailed Deer,F
