project,location,site,station,BlackBear,CanadaLynx,Coyote,Elk(wapiti),Fisher,GrayWolf,Marten,Moose,Muledeer,Redfox,RedSquirrel,SnowshoeHare,White-tailedDeer,lure
ABMI Ecosystem Health 2015,1-NE,1,NE,0,2.1742913887238564,0,0,0,0,0,0.8724444998957862,0,0,0.11093836338059912,0.8906852614169752,0,Yes
ABMI Ecosystem Health 2015,1-NW,1,NW,0,0.11449155845743332,0,0,0,0,0,0.10944324912348315,0,0,0,0.8412796420994527,0,No
ABMI Ecosystem Health 2015,1-SE,1,SE,0,0,0,0,0,0,0,0,0,0,0.11093836338059912,0.4384649909889158,0,No
ABMI Ecosystem Health 2015,1-SW,1,SW,0.680927773918191,0.8920261147916388,0,0,0,0,0,0,0,0,0,1.0906734084252268,0,Yes
ABMI Ecosystem Health 2015,1022-NE,1022,NE,0,0,0.011173276678466987,0,0,0,0,0,1.526503134559694,0.04523198285814556,0,0,4.771471601330753,Yes
ABMI Ecosystem Health 2015,1022-NW,1022,NW,0,0,0.04727502537852914,0,0,0,0,0,0,0,0,0,0.27126474167837483,No
ABMI Ecosystem Health 2015,1022-SE,1022,SE,0,0,0.2930145525129701,0,0,0,0,0.16272926825221154,0,0,0,0,9.805502827958694,No
ABMI Ecosystem Health 2015,1022-SW,1022,SW,0,0,3.1959772276394136,0,0,0,0,0,0,0.04637506415019173,0,0,0.41663655600245864,Yes
ABMI Ecosystem Health 2017,1025-NE,1025,NE,0,0,0,0,0,0,0,0.010192401682643949,0,0,0,0,0.021247277470491193,Yes
ABMI Ecosystem Health 2017,1025-NW,1025,NW,0,0,0.3537259115923419,0,0,0,0,0.13067627003541285,1.4197148269493722,0,0,0,4.495821610373087,Yes
ABMI Ecosystem Health 2017,1025-SE,1025,SE,0.20730945690667527,0,0.1548167290705625,0,0,0,0,0.015014344205755304,4.3846336399453625,0,0,0,1.5842343129062681,No
ABMI Ecosystem Health 2017,1025-SW,1025,SW,0,0,0.33415178727888206,0,0,0,0,0.04735936462380788,0.03163316900838598,0,0,0,0.49913220680047327,No
ABMI Ecosystem Health 2017,1026-NE,1026,NE,0,0,0.017367628643050134,0,0,0,0,0,8.265578853649242,0,0,0,0.4874366359368323,Yes
