WMUNIT_COD,aerial_avg,aerial_lci_0.9,aerial_uci_0.9
00256,0.112,0.0765,0.164
00258,0.165,0.14,0.193
00338,0.17,0.123,0.234
00346,0.46,0.347,0.61
00348,0.85,0.695,1.04
00349,0.37,0.282,0.485
00351,0.36,0.285,0.462
00352,0.18,0.128,0.253
00353,0.56,0.448,0.7
00354,0.93,0.74,1.16
00356,0.61,0.49,0.75
00357,0.36,0.288,0.455
00358,0.77,0.632,0.938
00359,0.619,0.518,0.739
00360,0.65,0.51,0.83
00360,0.5,0.386,0.65
00500,0.324,0.262,0.4
00501,0.229,0.176,0.3
00502,0.27,0.214,0.341
00503,0.3,0.25,0.35
00504,0.5,0.387,0.647
00506,0.64,0.53,0.771
00509,0.37,0.287,0.476
00511,0.124,0.085,0.183
00512,0.213,0.155,0.293
00514,0.273,0.192,0.386
00515,0.14,0.103,0.189
00516,0.079,0.062,0.099
00517,0.085,0.065,0.112
00519,0.135,0.104,0.176
00520,0.16,0.116,0.218
00521,0.71,0.596,0.845
00523,0.42,0.33,0.54
00526,0.477,NA,NA
00527,0.284,0.22,0.367
00528,0.104,0.08,0.134
00529,0.089,0.068,0.117
00530,0.12,0.102,0.141
00531,0.07,0.05,0.09
00536,0.15,NA,NA
00537,0.24,NA,NA
00540,0.025,0.016,0.04
00542,0.072,0.06,0.09
00544,0.12,0.09,0.15
00726,0.051,0.035,0.076
00316,0.45,0.249,0.813
00347,0.39,0.3,0.51
00508,0.39,0.31,0.51
00524,0.094,0.07,0.126
00525,0.205,0.157,0.267
00841,0.315,0.197,0.507
00355,0.352,0.274,0.452
