deployment,year,common_name,VegHF,VegForDetectionDistance,series_num,total_time,total_time_IP,total_time_IC,total_time_DP,total_time_DC,total_time_L,total_time_O,VegHF1
ABMI-1022-SE,2015,Coyote,Marsh,Decid,1,3.84,0,0,0,0,0,3.84,OpenWet
ABMI-1022-SE,2015,Coyote,Marsh,Decid,2,3.84,0,0,0,0,0,3.84,OpenWet
ABMI-1022-SE,2015,Coyote,Marsh,Decid,4,3.84,0,0,0,0,0,3.84,OpenWet
ABMI-1022-SE,2015,White-tailed Deer,Marsh,Decid,3,62.4,0,0,0,0,0,62.4,OpenWet
ABMI-1023-NW,2015,Coyote,Marsh,Water,5,10.68,0,0,0,0,0,10.68,OpenWet
ABMI-1023-NW,2015,Coyote,Marsh,Water,6,10.68,0,0,0,0,0,10.68,OpenWet
ABMI-1023-SW,2015,Mule deer,GrassHerb,Grass,7,29.72,0,0,0,0,0,29.72,Open
ABMI-1024-NW,2015,Moose,TreedFenR,WetTreed,8,124.54,14.27,103.77,0,6.5,0,0,YoungTreedWet
ABMI-1024-NW,2015,Moose,TreedFenR,WetTreed,9,75.54,28,33.269999999999996,2.77,4,7.5,0,YoungTreedWet
ABMI-1024-NW,2015,Moose,TreedFenR,WetTreed,10,7.54,0,7.54,0,0,0,0,YoungTreedWet
ABMI-1024-NW,2015,Moose,TreedFenR,WetTreed,11,400.31,17.27,161,0,3.5,211.27,7.27,YoungTreedWet
ABMI-1025-SE,2017,Coyote,CultivationRoughPasture,HF,13,3.84,0,0,0,0,0,3.84,Cultivation
ABMI-1025-SE,2017,Moose,CultivationRoughPasture,HF,12,2.27,0,0,0,0,0,2.27,Cultivation
ABMI-1025-SE,2017,Mule deer,CultivationRoughPasture,HF,14,9.719999999999999,0,0,0,0,0,9.719999999999999,Cultivation
ABMI-1025-SE,2017,Mule deer,CultivationRoughPasture,HF,15,2.36,0,0,0,0,0,2.36,Cultivation
ABMI-1026-NW,2017,Mule deer,GrassHerb,Grass,16,2.36,0,0,0,0,0,2.36,Open
ABMI-1026-NW,2017,Mule deer,GrassHerb,Grass,17,16.72,0,0,0,0,0,16.72,Open
ABMI-1026-NW,2017,Mule deer,GrassHerb,Grass,18,11.719999999999999,0,0,0,0,0,11.719999999999999,Open
ABMI-1026-SE,2017,Coyote,GrassHerb,Grass,22,8.68,0,0,0,0,0,8.68,Open
ABMI-1026-SE,2017,Mule deer,GrassHerb,Grass,19,172.02,2,0,45.15,0,0,124.87,Open
ABMI-1026-SE,2017,White-tailed Deer,GrassHerb,Grass,20,129.94,84.42,0,10.51,0,16.5,18.509999999999998,Open
ABMI-1026-SE,2017,White-tailed Deer,GrassHerb,Grass,21,24.04,0,0,0,0,0,24.04,Open
ABMI-1027-SE,2017,Coyote,CultivationCrop,HF,23,11.68,0,0,0,0,0,11.68,Cultivation
ABMI-1027-SE,2017,Coyote,CultivationCrop,HF,24,3.84,0,0,0,0,0,3.84,Cultivation
ABMI-1027-SE,2017,Coyote,CultivationCrop,HF,25,3.84,0,0,0,0,0,3.84,Cultivation
