name,date_detected,common_name,pole_position
Z2A,2020-10-08T13:31:23Z,Woodland Caribou,B
Z2A,2020-10-08T13:31:26Z,Woodland Caribou,B
Z2A,2020-10-08T13:31:31Z,Woodland Caribou,B
Z2A,2020-10-08T13:31:33Z,Woodland Caribou,B
Z2A,2020-10-08T13:31:38Z,Woodland Caribou,B
Z2A,2020-10-08T13:31:42Z,Woodland Caribou,B
Z2A,2020-10-08T13:32:19Z,Woodland Caribou,B
Z2A,2020-10-09T08:10:18Z,Woodland Caribou,B
Z2A,2020-10-08T13:27:36Z,Woodland Caribou,F
Z2A,2020-10-08T13:27:41Z,Woodland Caribou,F
Z2A,2020-10-08T13:27:43Z,Woodland Caribou,F
Z2A,2020-10-08T13:27:45Z,Woodland Caribou,F
Z2A,2020-10-08T13:27:47Z,Woodland Caribou,F
Z2A,2020-10-08T13:27:50Z,Woodland Caribou,F
Z2A,2020-10-08T16:08:14Z,Woodland Caribou,F
Z2A,2020-10-08T16:08:18Z,Woodland Caribou,F
Z2A,2020-10-08T16:08:20Z,Woodland Caribou,F
Z2A,2020-10-08T16:08:28Z,Woodland Caribou,F
Z2A,2020-10-08T16:08:42Z,Woodland Caribou,F
Z2A,2020-10-08T16:08:44Z,Woodland Caribou,F
Z2A,2020-10-08T16:08:52Z,Woodland Caribou,F
Z2A,2020-10-08T16:08:55Z,Woodland Caribou,F
Z2A,2020-10-08T18:14:14Z,Woodland Caribou,F
Z2A,2020-10-08T18:14:16Z,Woodland Caribou,F
Z2A,2020-10-08T18:14:27Z,Woodland Caribou,F
Z2A,2020-10-08T18:14:33Z,Woodland Caribou,F
Z2A,2020-10-08T18:14:34Z,Woodland Caribou,F
Z2A,2020-10-09T08:10:12Z,Woodland Caribou,B
Z2A,2020-10-09T08:09:40Z,Woodland Caribou,B
Z2A,2020-10-09T07:59:09Z,Woodland Caribou,B
Z2A,2020-10-09T08:10:01Z,Woodland Caribou,B
Z2A,2020-10-09T07:59:10Z,Woodland Caribou,B
Z2A,2020-10-09T07:58:05Z,Woodland Caribou,B
Z2A,2020-10-09T07:57:48Z,Woodland Caribou,B
Z2A,2020-10-09T07:58:00Z,Woodland Caribou,B
Z2A,2020-10-09T07:57:46Z,Woodland Caribou,B
Z2A,2020-10-09T07:57:45Z,Woodland Caribou,B
Z2A,2020-10-09T08:10:15Z,Woodland Caribou,B
Z2A,2020-10-09T08:10:17Z,Woodland Caribou,B
Z2A,2020-10-09T08:10:14Z,Woodland Caribou,B
Z2A,2020-10-08T18:21:37Z,Woodland Caribou,B
Z2A,2020-10-08T18:21:47Z,Woodland Caribou,F
Z2A,2020-10-09T07:57:04Z,Woodland Caribou,F
Z2A,2020-10-09T07:56:49Z,Woodland Caribou,F
Z2A,2020-10-09T07:57:03Z,Woodland Caribou,F
Z2A,2020-10-09T07:56:58Z,Woodland Caribou,F
Z2A,2020-10-09T07:56:48Z,Woodland Caribou,F
Z2A,2020-10-09T07:56:46Z,Woodland Caribou,F
Z2A,2020-10-09T07:57:18Z,Woodland Caribou,F
Z2A,2020-10-09T07:57:15Z,Woodland Caribou,F
Z2A,2020-10-09T07:57:16Z,Woodland Caribou,F
Z2A,2020-10-09T07:57:07Z,Woodland Caribou,F
Z2A,2020-10-09T07:57:06Z,Woodland Caribou,F
Z2A,2020-10-09T07:57:29Z,Woodland Caribou,F
Z2A,2020-10-09T07:57:24Z,Woodland Caribou,F
Z2A,2020-10-09T07:57:20Z,Woodland Caribou,F
Z2A,2020-10-08T18:30:43Z,Woodland Caribou,B
Z2A,2020-10-08T18:30:45Z,Woodland Caribou,B
Z2A,2020-10-09T10:21:44Z,Woodland Caribou,B
Z2A,2020-10-09T10:34:12Z,Woodland Caribou,B
Z2A,2020-10-09T10:34:14Z,Woodland Caribou,B
Z2A,2020-10-09T11:07:39Z,Woodland Caribou,B
Z2A,2020-10-09T10:34:17Z,Woodland Caribou,B
Z2A,2020-10-09T10:34:16Z,Woodland Caribou,B
Z2A,2020-10-09T11:07:38Z,Woodland Caribou,B
Z2A,2020-10-09T11:07:41Z,Woodland Caribou,B
Z2A,2020-10-09T11:07:35Z,Woodland Caribou,B
Z2A,2020-10-09T10:53:20Z,Woodland Caribou,B
Z2A,2020-10-09T11:07:36Z,Woodland Caribou,B
Z2A,2020-10-09T10:53:21Z,Woodland Caribou,B
Z2A,2020-10-09T10:53:18Z,Woodland Caribou,B
Z2A,2020-10-09T11:07:33Z,Woodland Caribou,B
Z2A,2020-10-09T10:53:11Z,Woodland Caribou,B
Z2A,2020-10-09T10:53:08Z,Woodland Caribou,B
Z2A,2020-10-09T10:53:09Z,Woodland Caribou,B
Z2A,2020-10-09T10:53:06Z,Woodland Caribou,B
Z2A,2020-10-09T10:34:20Z,Woodland Caribou,B
Z2A,2020-10-09T11:07:43Z,Woodland Caribou,B
Z2A,2020-10-09T12:04:34Z,Woodland Caribou,B
Z2A,2020-10-09T11:15:38Z,Woodland Caribou,B
Z2A,2020-10-09T11:15:37Z,Woodland Caribou,B
Z2A,2020-10-09T11:18:45Z,Woodland Caribou,B
Z2A,2020-10-09T11:18:08Z,Woodland Caribou,B
Z2A,2020-10-09T11:17:16Z,Woodland Caribou,B
Z2A,2020-10-09T11:15:41Z,Woodland Caribou,B
Z2A,2020-10-09T12:59:24Z,Woodland Caribou,B
Z2A,2020-10-10T12:51:30Z,Woodland Caribou,B
Z2A,2020-10-10T12:51:18Z,Woodland Caribou,B
Z2A,2020-10-10T12:51:16Z,Woodland Caribou,B
Z2A,2020-10-10T12:48:11Z,Woodland Caribou,B
Z2A,2020-10-10T12:51:15Z,Woodland Caribou,B
Z2A,2020-10-10T12:48:32Z,Woodland Caribou,B
Z2A,2020-10-10T13:19:24Z,Woodland Caribou,B
Z2A,2020-10-10T13:19:26Z,Woodland Caribou,B
Z2A,2020-10-10T13:15:18Z,Woodland Caribou,B
Z2A,2020-10-10T13:11:56Z,Woodland Caribou,B
Z2A,2020-10-10T13:11:54Z,Woodland Caribou,B
Z2A,2020-10-10T13:11:52Z,Woodland Caribou,B
Z2A,2020-10-10T13:11:50Z,Woodland Caribou,B
Z2A,2020-10-10T13:11:49Z,Woodland Caribou,B
Z2A,2020-10-10T13:04:16Z,Woodland Caribou,B
Z2A,2020-10-10T12:51:56Z,Woodland Caribou,B
Z2A,2020-10-10T12:51:55Z,Woodland Caribou,B
Z2A,2020-10-10T13:04:14Z,Woodland Caribou,B
Z2A,2020-10-10T12:51:54Z,Woodland Caribou,B
Z2A,2020-10-10T12:51:52Z,Woodland Caribou,B
Z2A,2020-10-10T13:27:40Z,Woodland Caribou,B
Z2A,2020-10-10T12:51:40Z,Woodland Caribou,B
Z2A,2020-10-10T13:20:00Z,Woodland Caribou,B
Z2A,2020-10-10T13:27:38Z,Woodland Caribou,B
Z2A,2020-10-10T13:28:12Z,Woodland Caribou,B
Z2A,2020-10-10T13:28:14Z,Woodland Caribou,B
Z2A,2020-10-10T13:27:46Z,Woodland Caribou,B
Z2A,2020-10-10T13:27:52Z,Woodland Caribou,B
Z2A,2020-10-10T13:28:11Z,Woodland Caribou,B
Z2A,2020-10-10T13:27:44Z,Woodland Caribou,B
Z2A,2020-10-10T13:27:37Z,Woodland Caribou,B
Z2A,2020-10-10T13:27:42Z,Woodland Caribou,B
Z2A,2020-10-10T13:27:36Z,Woodland Caribou,B
Z2A,2020-10-10T13:27:34Z,Woodland Caribou,B
Z2A,2020-10-10T13:23:48Z,Woodland Caribou,B
Z2A,2020-10-10T13:28:15Z,Woodland Caribou,B
Z2A,2020-10-10T13:28:17Z,Woodland Caribou,B
Z2A,2020-10-10T13:28:16Z,Woodland Caribou,B
Z2A,2020-10-10T13:39:10Z,Woodland Caribou,B
Z2A,2020-10-10T13:37:05Z,Woodland Caribou,B
Z2A,2020-10-10T13:36:30Z,Woodland Caribou,B
Z2A,2020-10-10T13:36:27Z,Woodland Caribou,B
Z2A,2020-10-10T13:36:28Z,Woodland Caribou,B
Z2A,2020-10-09T10:31:46Z,Woodland Caribou,F
Z2A,2020-10-09T10:32:34Z,Woodland Caribou,F
Z2A,2020-10-09T10:32:32Z,Woodland Caribou,F
Z2A,2020-10-09T10:32:31Z,Woodland Caribou,F
Z2A,2020-10-09T10:31:48Z,Woodland Caribou,F
Z2A,2020-10-09T10:31:44Z,Woodland Caribou,F
Z2A,2020-10-09T10:31:45Z,Woodland Caribou,F
Z2A,2020-10-09T10:32:54Z,Woodland Caribou,F
Z2A,2020-10-09T10:32:56Z,Woodland Caribou,F
Z2A,2020-10-09T10:33:40Z,Woodland Caribou,F
Z2A,2020-10-09T10:33:46Z,Woodland Caribou,F
Z2A,2020-10-09T10:32:55Z,Woodland Caribou,F
Z2A,2020-10-09T10:32:52Z,Woodland Caribou,F
Z2A,2020-10-09T10:32:45Z,Woodland Caribou,F
Z2A,2020-10-09T10:32:50Z,Woodland Caribou,F
Z2A,2020-10-09T10:32:39Z,Woodland Caribou,F
Z2A,2020-10-09T10:32:47Z,Woodland Caribou,F
Z2A,2020-10-09T10:32:44Z,Woodland Caribou,F
Z2A,2020-10-09T12:08:39Z,Woodland Caribou,F
Z2A,2020-10-09T12:06:44Z,Woodland Caribou,F
Z2A,2020-10-09T12:04:50Z,Woodland Caribou,F
Z2A,2020-10-09T12:04:46Z,Woodland Caribou,F
Z2A,2020-10-09T12:08:42Z,Woodland Caribou,F
Z2A,2020-10-09T12:08:19Z,Woodland Caribou,F
Z2A,2020-10-09T12:07:45Z,Woodland Caribou,F
Z2A,2020-10-09T12:08:17Z,Woodland Caribou,F
Z2A,2020-10-09T12:07:12Z,Woodland Caribou,F
Z2A,2020-10-09T12:06:48Z,Woodland Caribou,F
Z2A,2020-10-09T12:06:47Z,Woodland Caribou,F
Z2A,2020-10-09T12:08:50Z,Woodland Caribou,F
Z2A,2020-10-09T12:09:34Z,Woodland Caribou,F
Z2A,2020-10-09T12:09:32Z,Woodland Caribou,F
Z2A,2020-10-09T12:09:16Z,Woodland Caribou,F
Z2A,2020-10-09T12:08:43Z,Woodland Caribou,F
Z2A,2020-10-09T12:09:14Z,Woodland Caribou,F
Z2A,2020-10-09T16:14:42Z,Woodland Caribou,F
Z2A,2020-10-09T12:09:29Z,Woodland Caribou,F
Z2A,2020-10-09T12:09:19Z,Woodland Caribou,F
Z2A,2020-10-09T16:14:41Z,Woodland Caribou,F
Z2A,2020-10-10T07:31:38Z,Woodland Caribou,F
Z2A,2020-10-09T16:14:43Z,Woodland Caribou,F
Z2A,2020-10-09T16:14:45Z,Woodland Caribou,F
Z2A,2020-10-10T07:42:06Z,Woodland Caribou,F
Z2A,2020-10-12T11:34:07Z,Woodland Caribou,B
Z2A,2020-10-12T11:30:23Z,Woodland Caribou,F
Z2A,2020-10-12T11:30:20Z,Woodland Caribou,F
Z2A,2020-10-12T11:30:17Z,Woodland Caribou,F
Z2A,2020-10-12T11:30:19Z,Woodland Caribou,F
Z2A,2020-10-12T11:30:15Z,Woodland Caribou,F
Z2A,2020-10-12T11:30:07Z,Woodland Caribou,F
Z2A,2020-10-12T11:30:13Z,Woodland Caribou,F
Z2A,2020-10-12T11:30:05Z,Woodland Caribou,F
Z2A,2020-10-12T11:30:30Z,Woodland Caribou,F
Z2A,2020-10-12T11:30:52Z,Woodland Caribou,F
Z2A,2020-10-12T11:31:00Z,Woodland Caribou,F
Z2A,2020-10-12T19:05:20Z,Woodland Caribou,F
Z2A,2020-10-12T19:02:26Z,Woodland Caribou,F
Z2A,2020-10-10T07:41:53Z,Woodland Caribou,B
Z2A,2020-10-10T07:41:51Z,Woodland Caribou,B
Z2A,2020-10-10T07:41:55Z,Woodland Caribou,B
Z2A,2020-10-10T12:37:00Z,Woodland Caribou,B
Z2A,2020-10-10T12:37:01Z,Woodland Caribou,B
Z2A,2020-10-10T12:36:58Z,Woodland Caribou,B
Z2A,2020-10-10T12:36:55Z,Woodland Caribou,B
Z2A,2020-10-10T12:36:57Z,Woodland Caribou,B
Z2A,2020-10-10T09:19:15Z,Woodland Caribou,B
Z2A,2020-10-10T09:19:14Z,Woodland Caribou,B
Z2A,2020-10-10T12:36:54Z,Woodland Caribou,B
Z2A,2020-10-10T09:19:12Z,Woodland Caribou,B
Z2A,2020-10-10T09:19:10Z,Woodland Caribou,B
Z2A,2020-10-10T09:19:08Z,Woodland Caribou,B
Z2A,2020-10-10T12:37:04Z,Woodland Caribou,B
Z2A,2020-10-10T12:37:02Z,Woodland Caribou,B
Z2A,2020-10-10T09:19:07Z,Woodland Caribou,B
Z2A,2020-10-10T09:19:06Z,Woodland Caribou,B
Z2A,2020-10-10T12:36:53Z,Woodland Caribou,B
Z2A,2020-10-10T08:39:45Z,Woodland Caribou,B
Z2A,2020-10-10T08:39:43Z,Woodland Caribou,B
Z2A,2020-10-10T12:43:16Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:14Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:13Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:06Z,Woodland Caribou,F
